#time,id,mass,px,py,pz,vx,vy,vz
3.6547366422562021e+01,0,1.0000000000000000e+00,-1.5792748754539790e+02,5.1419028361048113e+01,-4.4523512004456130e+01,7.6854367799004092e-02,-1.9228971621255864e-02,1.6124926056814107e-02
3.6547366422562021e+01,1,1.0000000000000000e+00,1.5812164819538148e+02,-5.1488048270574772e+01,4.4577437758831174e+01,-7.7072246585393495e-02,1.8946283793136176e-02,-1.6403355964944799e-02
3.6547366422562021e+01,2,9.5435340000000004e-04,-1.5502653619658875e+02,5.3529494163461742e+01,-4.8006441837896553e+01,2.4273998906505931e-01,2.6024963465246204e-01,3.2363334966748097e-01
3.6547366422562021e+01,3,2.8630601999999998e-04,-1.6140264208970962e+02,6.2638762438517261e+01,-2.8328581372898334e+01,-4.8133628104704201e-02,1.1986371938770854e-01,-1.0628724983785486e-01

4.1460264213652039e+01,0,1.0000000000000000e+00,-1.5754952993998708e+02,5.1324765901025280e+01,-4.4444528376289291e+01,7.7012271852715530e-02,-1.9137408697459959e-02,1.6039895281972236e-02
4.1460264213652039e+01,1,1.0000000000000000e+00,1.5774290626635531e+02,-5.1394936546142105e+01,4.4496823281699349e+01,-7.7110484622978259e-02,1.8958738635518724e-02,-1.6414139172477249e-02
4.1460264213652039e+01,2,9.5435340000000004e-04,-1.5413544891871169e+02,5.4563792636605569e+01,-4.6133707071434344e+01,1.1664242612853779e-01,1.5338852082122656e-01,4.2695360923470932e-01
4.1460264213652039e+01,3,2.8630601999999998e-04,-1.6163347397366115e+02,6.3210351277962310e+01,-2.8874856392514200e+01,-4.5773839115302972e-02,1.1275769044065546e-01,-1.1603227242777907e-01

4.6276189650660285e+01,0,1.0000000000000000e+00,-1.5717825267424263e+02,5.1232883743977482e+01,-4.4367338933224417e+01,7.7174255893477595e-02,-1.9017086409065354e-02,1.6028748142938254e-02
4.6276189650660285e+01,1,1.0000000000000000e+00,1.5737145732537800e+02,-5.1303603151110806e+01,4.4417748450445401e+01,-7.7148136268634565e-02,1.8971009636961217e-02,-1.6424763215221017e-02
4.6276189650660285e+01,2,9.5435340000000004e-04,-1.5389131768474536e+02,5.4981156781900708e+01,-4.3983832565705704e+01,-1.4438546595947732e-02,1.6658158389411815e-02,4.5251516291729893e-01
4.6276189650660285e+01,3,2.8630601999999998e-04,-1.6184762329656965e+02,6.3735834903511815e+01,-2.9455884535214565e+01,-4.3101255111690648e-02,1.0540819926639941e-01,-1.2519580272478420e-01

5.0913004506940922e+01,0,1.0000000000000000e+00,-1.5682007315799098e+02,5.1144990167298417e+01,-4.4292901250097096e+01,7.7315438105633197e-02,-1.8895025234713252e-02,1.6089932193693535e-02
5.0913004506940922e+01,1,1.0000000000000000e+00,1.5701365134822345e+02,-5.1215610587398331e+01,4.4341566051481756e+01,-7.7184546225384329e-02,1.8982882715252114e-02,-1.6435042743936625e-02
5.0913004506940922e+01,2,9.5435340000000004e-04,-1.5422474913746521e+02,5.4735928026300122e+01,-4.1975602434223980e+01,-1.2509282706972003e-01,-1.2145742809465532e-01,4.0170621101575510e-01
5.0913004506940922e+01,3,2.8630601999999998e-04,-1.6204086986723911e+02,6.4207525520684641e+01,-3.0056100407860793e+01,-4.0198649749584911e-02,9.7992451986850693e-02,-1.3363022559160875e-01

5.5376266850095185e+01,0,1.0000000000000000e+00,-1.5647474557015551e+02,5.1060893794019485e+01,-4.4220843367773213e+01,7.7420632469242370e-02,-1.8792931133165984e-02,1.6207894322713745e-02
5.5376266850095185e+01,1,1.0000000000000000e+00,1.5666907798113130e+02,-5.1130859395409736e+01,4.4268189974458906e+01,-7.7219741394249045e-02,1.8994365969294116e-02,-1.6444984772998703e-02
5.5376266850095185e+01,2,9.5435340000000004e-04,-1.5496325685487952e+02,5.3923525749796511e+01,-4.0410207527018443e+01,-1.9936764104465221e-01,-2.3823669494900107e-01,2.9084080478438834e-01
5.5376266850095185e+01,3,2.8630601999999998e-04,-1.6221349422321984e+02,6.4628404428788031e+01,-3.0669937493998997e+01,-3.7106760494626939e-02,9.0557521986693479e-02,-1.4136782949825000e-01

6.0300694060881014e+01,0,1.0000000000000000e+00,-1.5609330400961343e+02,5.0968551753965926e+01,-4.4140607518956969e+01,7.7488322754040939e-02,-1.8719026841881991e-02,1.6384908844251218e-02
6.0300694060881014e+01,1,1.0000000000000000e+00,1.5628871902906010e+02,-5.1037291700056159e+01,4.4187180725201458e+01,-7.7258742733389341e-02,1.9007098323395585e-02,-1.6456008262796636e-02
6.0300694060881014e+01,2,9.5435340000000004e-04,-1.5604554850556070e+02,5.2511717524827120e+01,-3.9384940215545761e+01,-2.3055085254687124e-01,-3.2646156236488466e-01,1.1933426163448184e-01
6.0300694060881014e+01,3,2.8630601999999998e-04,-1.6238715370202758e+02,6.5053504395710391e+01,-3.1386188250501753e+01,-3.3366502913587476e-02,8.2038863515737748e-02,-1.4944722357517681e-01

6.5058176359183250e+01,0,1.0000000000000000e+00,-1.5572460520456517e+02,5.0879562265723237e+01,-4.4062207437903240e+01,7.7500479280463469e-02,-1.8700759546244648e-02,1.6574028166899474e-02
6.5058176359183250e+01,1,1.0000000000000000e+00,1.5592107196084024e+02,-5.0946836381100127e+01,4.4108866115935996e+01,-7.7296592098632960e-02,1.9019461892805036e-02,-1.6466712474548940e-02
6.5058176359183250e+01,2,9.5435340000000004e-04,-1.5710273581495136e+02,5.0864734319771834e+01,-3.9255916456277546e+01,-2.0480812962201658e-01,-3.5600156843296871e-01,-6.5416328793638748e-02
6.5058176359183250e+01,3,2.8630601999999998e-04,-1.6253666688799262e+02,6.5423644388366313e+01,-3.2114800424282137e+01,-2.9436499372263558e-02,7.3519099175111624e-02,-1.5677419759014699e-01

6.9761058637414351e+01,0,1.0000000000000000e+00,-1.5536019581869147e+02,5.0791546286308403e+01,-4.3983843080501245e+01,7.7465307124837623e-02,-1.8739127636424088e-02,1.6747291614525130e-02
6.9761058637414351e+01,1,1.0000000000000000e+00,1.5555746688390388e+02,-5.0857361232293187e+01,4.4031400120315425e+01,-7.7334172689601827e-02,1.9031744774143093e-02,-1.6477346836036931e-02
6.9761058637414351e+01,2,9.5435340000000004e-04,-1.5790689857082484e+02,4.9238140321665625e+01,-3.9971232919675984e+01,-1.2982958263785949e-01,-3.2606554028579249e-01,-2.3379573518546734e-01
6.9761058637414351e+01,3,2.8630601999999998e-04,-1.6266538746872359e+02,6.5749086795774815e+01,-3.2868179911397355e+01,-2.5256652391312501e-02,6.4841875401171201e-02,-1.6353489077308786e-01

7.4362147062124777e+01,0,1.0000000000000000e+00,-1.5500391752098466e+02,5.0705142330519649e+01,-4.3906470273926125e+01,7.7397477052850147e-02,-1.8826230379863695e-02,1.6876538947089570e-02
7.4362147062124777e+01,1,1.0000000000000000e+00,1.5520156062451997e+02,-5.0769766732079411e+01,4.3955562356576181e+01,-7.7371100325662009e-02,1.9043821146316420e-02,-1.6487802408406749e-02
7.4362147062124777e+01,2,9.5435340000000004e-04,-1.5826484957534075e+02,4.7907138015721820e+01,-4.1349676614999680e+01,-2.1370173560983655e-02,-2.4483707275380140e-01,-3.5642938587614059e-01
7.4362147062124777e+01,3,2.8630601999999998e-04,-1.6277166034628326e+02,6.6027467777980704e+01,-3.3634913382612147e+01,-2.0893830285189860e-02,5.6129893376940188e-02,-1.6966790433510981e-01

7.8953887875506496e+01,0,1.0000000000000000e+00,-1.5464871739664036e+02,5.0618425556454383e+01,-4.3828792486850880e+01,7.7314163965538363e-02,-1.8949078944018413e-02,1.6946133673887059e-02
7.8953887875506496e+01,1,1.0000000000000000e+00,1.5484620767183287e+02,-5.0682294659042242e+01,4.3879830587820543e+01,-7.7408112288316455e-02,1.9055931964510331e-02,-1.6498287803342504e-02
